as_of_date,composite_ticker,fundflow
2020-12-29,SPY,1264952823.2
2020-12-30,SPY,-2654189981
2020-12-31,SPY,3290016572.3
2021-01-04,SPY,-617390116.2
2021-01-05,SPY,-2193587149
2021-01-06,SPY,2357922913.1
2021-01-07,SPY,-2800894913
2021-01-08,SPY,-398030699.9
2021-01-11,SPY,705226754.35
2021-01-12,SPY,227222587.2
2021-01-13,SPY,-814551036.1
2021-01-14,SPY,2031549288.7
2021-01-15,SPY,2137655945.3
2021-01-19,SPY,-4038010654
2021-01-20,SPY,-2707685473
2021-01-21,SPY,-1305503709
2021-01-22,SPY,556980030.55
2021-01-25,SPY,-402117686.3
2021-01-26,SPY,-653398874.3
2021-01-27,SPY,-2398635650
2021-01-28,SPY,-2393169427
2021-01-29,SPY,1038446843.5
2021-02-01,SPY,-3759316370
2021-02-02,SPY,-752630444
2021-02-03,SPY,1945876868.4
2021-02-04,SPY,878434459.8
2021-02-05,SPY,57916015.05
2021-02-08,SPY,1395532584
2021-02-09,SPY,214786293.15
2021-02-10,SPY,3043188267.6
2021-02-11,SPY,1540607894.3
2021-02-12,SPY,-1660698346
2021-02-16,SPY,314084977.6
2021-02-17,SPY,882969534
2021-02-18,SPY,-117710720.4
2021-02-19,SPY,820375025.4
2021-02-22,SPY,935878917.6
2021-02-23,SPY,-367622879.4
2021-02-24,SPY,-736179388.4
2021-02-25,SPY,1312718467.7
2021-02-26,SPY,-3020461281
2021-03-01,SPY,-437647773.2
2021-03-02,SPY,-642851084.7
2021-03-03,SPY,2550676570.2
2021-03-04,SPY,-2994362922
2021-03-05,SPY,1035120495.8
2021-03-08,SPY,1285535288
2021-03-09,SPY,-2538276824
2021-03-10,SPY,-871015837.5
2021-03-11,SPY,-837353572.7
2021-03-12,SPY,531264158.1
2021-03-15,SPY,-2482340364
2021-03-16,SPY,-178465008.2
2021-03-17,SPY,2435271717.2
2021-03-18,SPY,4725700879.9
2021-03-19,SPY,117387857.1
2021-03-22,SPY,-1286397743
2021-03-23,SPY,4298490532.4
2021-03-24,SPY,1110244255.8
2021-03-25,SPY,658669159.9
2021-03-26,SPY,-6796689251
2021-03-29,SPY,950338320
2021-03-30,SPY,2492475262.2
2021-03-31,SPY,3727271967.3
2021-04-01,SPY,-3345175218
2021-04-05,SPY,-2683726352
2021-04-06,SPY,1320778910.8
2021-04-07,SPY,893232238.8
2021-04-08,SPY,-1199531646
2021-04-09,SPY,-1531610254
