DATE,THREEFF10
2022-09-01,3.6833
2022-09-02,3.6775
2022-09-05,.
2022-09-06,3.7811
2022-09-07,3.7715
2022-09-08,3.7858
2022-09-09,3.8043
2022-09-12,3.8271
2022-09-13,3.8501
2022-09-14,3.8164
2022-09-15,3.8180
2022-09-16,3.7856
2022-09-19,3.7907
2022-09-20,3.8454
2022-09-21,3.8026
2022-09-22,3.9154
2022-09-23,3.9049
2022-09-26,4.0221
2022-09-27,4.1080
2022-09-28,3.9576
2022-09-29,3.9600
2022-09-30,4.0077
2022-10-03,3.8997
2022-10-04,3.8256
2022-10-05,3.9212
2022-10-06,3.9978
2022-10-07,4.0460
2022-10-10,.
2022-10-11,4.1025
2022-10-12,4.1108
2022-10-13,4.1550
2022-10-14,4.1807
2022-10-17,4.2001
2022-10-18,4.2038
2022-10-19,4.3045
2022-10-20,4.4029
2022-10-21,4.4287
2022-10-24,4.4988
2022-10-25,4.4441
2022-10-26,4.3907
2022-10-27,4.3501
2022-10-28,4.3995
2022-10-31,4.4559
2022-11-01,4.4598
2022-11-02,4.4474
2022-11-03,4.4556
2022-11-04,4.4604
2022-11-07,4.5013
2022-11-08,4.4460
2022-11-09,4.4345
2022-11-10,4.2112
2022-11-11,.
2022-11-14,4.2023
2022-11-15,4.1477
2022-11-16,4.0364
2022-11-17,4.0603
2022-11-18,4.0841
2022-11-21,4.0998
2022-11-22,4.0259
2022-11-23,3.9415
2022-11-24,.
2022-11-25,3.8917
2022-11-28,3.8883
2022-11-29,3.9244
2022-11-30,3.8778
2022-12-01,3.7721
2022-12-02,3.7374
2022-12-05,3.7968
2022-12-06,3.7388
2022-12-07,3.6475
2022-12-08,3.6778
2022-12-09,3.7326
2022-12-12,3.7714
2022-12-13,3.6982
2022-12-14,3.6782
2022-12-15,3.6461
2022-12-16,3.6635
2022-12-19,3.7490
2022-12-20,3.8686
2022-12-21,3.9165
2022-12-22,3.9386
2022-12-23,4.0005
2022-12-26,.
2022-12-27,4.0947
2022-12-28,4.1536
2022-12-29,4.1472
2022-12-30,4.1709
2023-01-02,.
2023-01-03,4.1097
2023-01-04,4.0156
2023-01-05,3.9983
2023-01-06,3.8748
